block_index,avg_length
4.900000000000000000e+01,1.954499999999999886e+02
5.000000000000000000e+01,1.946566666666666663e+02
5.100000000000000000e+01,1.945933333333333337e+02
5.200000000000000000e+01,1.941333333333333258e+02
5.300000000000000000e+01,1.927900000000000205e+02
5.400000000000000000e+01,1.933266666666666822e+02
5.500000000000000000e+01,1.904799999999999898e+02
5.600000000000000000e+01,1.910600000000000023e+02
5.700000000000000000e+01,1.893433333333333053e+02
5.800000000000000000e+01,1.882533333333333587e+02
5.900000000000000000e+01,1.882733333333333690e+02
6.000000000000000000e+01,1.872233333333333292e+02
6.100000000000000000e+01,1.868233333333333235e+02
6.200000000000000000e+01,1.872233333333333292e+02
6.300000000000000000e+01,1.866500000000000057e+02
6.400000000000000000e+01,1.875633333333333326e+02
6.500000000000000000e+01,1.850000000000000000e+02
6.600000000000000000e+01,1.860999999999999943e+02
6.700000000000000000e+01,1.826700000000000159e+02
6.800000000000000000e+01,1.843866666666666845e+02
6.900000000000000000e+01,1.838600000000000136e+02
7.000000000000000000e+01,1.808466666666666640e+02
7.100000000000000000e+01,1.831200000000000045e+02
7.200000000000000000e+01,1.816399999999999864e+02
7.300000000000000000e+01,1.796800000000000068e+02
7.400000000000000000e+01,1.788266666666666538e+02
7.500000000000000000e+01,1.790000000000000000e+02
7.600000000000000000e+01,1.779533333333333189e+02
7.700000000000000000e+01,1.769333333333333371e+02
7.800000000000000000e+01,1.772533333333333303e+02
7.900000000000000000e+01,1.779200000000000159e+02
8.000000000000000000e+01,1.758800000000000239e+02
8.100000000000000000e+01,1.764766666666666595e+02
8.200000000000000000e+01,1.775433333333333508e+02
8.300000000000000000e+01,1.758833333333333258e+02
8.400000000000000000e+01,1.744000000000000057e+02
8.500000000000000000e+01,1.711966666666666583e+02
8.600000000000000000e+01,1.685566666666666720e+02
8.700000000000000000e+01,1.704633333333333383e+02
8.800000000000000000e+01,1.685200000000000102e+02
8.900000000000000000e+01,1.696366666666666845e+02
9.000000000000000000e+01,1.729599999999999795e+02
9.100000000000000000e+01,1.731999999999999886e+02
9.200000000000000000e+01,1.748100000000000023e+02
9.300000000000000000e+01,1.743666666666666742e+02
9.400000000000000000e+01,1.694233333333333462e+02
9.500000000000000000e+01,1.735533333333333417e+02
9.600000000000000000e+01,1.683199999999999932e+02
9.700000000000000000e+01,1.696866666666666674e+02
9.800000000000000000e+01,1.688266666666666822e+02
9.900000000000000000e+01,1.699733333333333292e+02
1.000000000000000000e+02,1.699000000000000341e+02
1.010000000000000000e+02,1.698666666666666742e+02
1.020000000000000000e+02,1.754933333333333394e+02
1.030000000000000000e+02,1.723100000000000023e+02
1.040000000000000000e+02,1.702366666666666788e+02
1.050000000000000000e+02,1.716966666666666583e+02
1.060000000000000000e+02,1.709800000000000182e+02
1.070000000000000000e+02,1.704699999999999989e+02
1.080000000000000000e+02,1.721399999999999864e+02
1.090000000000000000e+02,1.670399999999999920e+02
1.100000000000000000e+02,1.684666666666666401e+02
1.110000000000000000e+02,1.677500000000000000e+02
1.120000000000000000e+02,1.651999999999999886e+02
1.130000000000000000e+02,1.663166666666666629e+02
1.140000000000000000e+02,1.662833333333333599e+02
1.150000000000000000e+02,1.684566666666666777e+02
1.160000000000000000e+02,1.659933333333333394e+02
1.170000000000000000e+02,1.678333333333333144e+02
1.180000000000000000e+02,1.665233333333333121e+02
1.190000000000000000e+02,1.654066666666666379e+02
1.200000000000000000e+02,1.651166666666666174e+02
1.210000000000000000e+02,1.656433333333333167e+02
1.220000000000000000e+02,1.659233333333333462e+02
1.230000000000000000e+02,1.679266666666666765e+02
1.240000000000000000e+02,1.657633333333333212e+02
1.250000000000000000e+02,1.632133333333333098e+02
1.260000000000000000e+02,1.635699999999999932e+02
1.270000000000000000e+02,1.620566666666666720e+02
1.280000000000000000e+02,1.635233333333333405e+02
1.290000000000000000e+02,1.617699999999999818e+02
1.300000000000000000e+02,1.630300000000000011e+02
1.310000000000000000e+02,1.617433333333333394e+02
1.320000000000000000e+02,1.629333333333333371e+02
1.330000000000000000e+02,1.635666666666666629e+02
1.340000000000000000e+02,1.662299999999999613e+02
1.350000000000000000e+02,1.652566666666666606e+02
1.360000000000000000e+02,1.654800000000000182e+02
1.370000000000000000e+02,1.639000000000000341e+02
1.380000000000000000e+02,1.630033333333333303e+02
1.390000000000000000e+02,1.625333333333333314e+02
1.400000000000000000e+02,1.609733333333333576e+02
1.410000000000000000e+02,1.631466666666666754e+02
1.420000000000000000e+02,1.646599999999999966e+02
1.430000000000000000e+02,1.647733333333333405e+02
1.440000000000000000e+02,1.587500000000000000e+02
1.450000000000000000e+02,1.599766666666666595e+02
1.460000000000000000e+02,1.616999999999999886e+02
1.470000000000000000e+02,1.615300000000000296e+02
1.480000000000000000e+02,1.597800000000000296e+02
1.490000000000000000e+02,1.585200000000000102e+02
1.500000000000000000e+02,1.566166666666666458e+02
